district,latitude,longitude,date,year,cases
Mayiladuthurai,12.511186625404672,78.71974466077558,2019-09-13,2019,17
Pudukkottai,13.448163145399755,79.75913900405705,2024-12-25,2024,12
Tirupathur,9.264329008844909,79.8427404651618,2017-08-05,2017,15
Ramanathapuram,10.459286774629927,79.98738840538071,2019-11-07,2019,15
Ramanathapuram,10.459286774629927,79.98738840538071,2017-08-08,2017,12
Tenkasi,9.415803319809571,77.79460476523921,2023-11-10,2023,10
Vellore,8.22596513178947,78.98801287255277,2020-05-02,2020,7
Chengalpattu,10.971775155436356,80.06195662124445,2016-01-13,2016,15
Theni,11.028664171009837,79.84010167865944,2025-02-18,2025,12
Tirupathur,9.264329008844909,79.8427404651618,2020-01-13,2020,8
Kanchipuram,12.553203369050639,76.91809803087223,2025-10-04,2025,14
Chengalpattu,10.971775155436356,80.06195662124445,2018-07-16,2018,16
Virudhunagar,8.479253000752081,80.0074729531343,2016-10-18,2016,12
Tenkasi,9.415803319809571,77.79460476523921,2020-11-12,2020,13
Tirunelveli,11.364535836693786,78.9978185573482,2025-07-20,2025,14
Vellore,8.22596513178947,78.98801287255277,2024-05-30,2024,16
Chennai,12.978227524916026,79.78258582106868,2016-04-30,2016,7
Tiruvarur,9.364422817745872,79.0479597862676,2010-11-14,2010,10
Kanchipuram,12.553203369050639,76.91809803087223,2016-08-01,2016,13
Dindigul,11.71587791882988,77.4615963417431,2023-01-11,2023,17
Chennai,12.978227524916026,79.78258582106868,2020-04-12,2020,16
Namakkal,11.88168313402467,78.21006029734804,2018-09-14,2018,14
Madurai,10.184734806512786,77.18063412427139,2024-03-14,2024,17
Sivaganga,9.82810637090627,77.21275160084942,2011-06-18,2011,10
Chennai,12.978227524916026,79.78258582106868,2018-05-09,2018,13
Salem,9.25577671285841,76.59582102659637,2025-07-11,2025,21
Krishnagiri,8.952412058033609,79.96754407478385,2019-02-06,2019,13
Tirupathur,9.264329008844909,79.8427404651618,2017-10-02,2017,8
Perambalur,11.21215672280004,79.19018115232493,2024-05-16,2024,12
Chennai,12.978227524916026,79.78258582106868,2019-05-20,2019,15
Sivaganga,9.82810637090627,77.21275160084942,2012-09-01,2012,9
Krishnagiri,8.952412058033609,79.96754407478385,2025-08-02,2025,18
Viluppuram,12.485439055348948,78.36255300160714,2022-01-13,2022,10
Viluppuram,12.485439055348948,78.36255300160714,2017-09-12,2017,6
Vellore,8.22596513178947,78.98801287255277,2021-02-26,2021,16
Ariyalur,12.305881205692778,76.62231682841326,2025-08-08,2025,11
Thoothukudi,10.745965039564158,79.87680787016569,2025-10-27,2025,19
Sivaganga,9.82810637090627,77.21275160084942,2018-10-17,2018,10
Chengalpattu,10.971775155436356,80.06195662124445,2014-08-31,2014,9
Mayiladuthurai,12.511186625404672,78.71974466077558,2019-01-12,2019,10
Krishnagiri,8.952412058033609,79.96754407478385,2023-11-12,2023,12
Krishnagiri,8.952412058033609,79.96754407478385,2024-07-24,2024,9
Tiruchirappalli,10.494646628898746,79.3199696545924,2017-11-18,2017,9
Viluppuram,12.485439055348948,78.36255300160714,2020-10-11,2020,19
Kanchipuram,12.553203369050639,76.91809803087223,2017-04-13,2017,18
Kanchipuram,12.553203369050639,76.91809803087223,2023-04-26,2023,12
Erode,12.22226401305712,80.06453910782892,2018-02-04,2018,13
Dharmapuri,11.620204042032553,77.98810758995262,2019-10-21,2019,11
Thanjavur,9.435157103765098,78.98806423544055,2018-06-10,2018,17
Sivaganga,9.82810637090627,77.21275160084942,2023-10-21,2023,12
Coimbatore,13.19639313368383,78.14988766209166,2020-09-05,2020,10
Tenkasi,9.415803319809571,77.79460476523921,2023-08-20,2023,7
Krishnagiri,8.952412058033609,79.96754407478385,2024-08-06,2024,10
Thanjavur,9.435157103765098,78.98806423544055,2014-05-16,2014,5
Viluppuram,12.485439055348948,78.36255300160714,2024-06-22,2024,18
Tiruppur,11.298769353517763,79.21465589721967,2021-01-23,2021,11
Kanchipuram,12.553203369050639,76.91809803087223,2022-05-26,2022,13
Pudukkottai,13.448163145399755,79.75913900405705,2025-11-15,2025,22
Erode,12.22226401305712,80.06453910782892,2024-10-27,2024,8
Perambalur,11.21215672280004,79.19018115232493,2021-02-12,2021,11
Viluppuram,12.485439055348948,78.36255300160714,2023-10-26,2023,15
Thanjavur,9.435157103765098,78.98806423544055,2025-12-21,2025,10
Nagapattinam,8.175088461543824,79.18625315713577,2023-03-27,2023,11
Kallakurichi,10.947006157151062,79.95492868203901,2025-05-31,2025,13
Coimbatore,13.19639313368383,78.14988766209166,2012-02-15,2012,4
Tenkasi,9.415803319809571,77.79460476523921,2024-09-26,2024,14
Coimbatore,13.19639313368383,78.14988766209166,2024-01-02,2024,15
Chengalpattu,10.971775155436356,80.06195662124445,2013-07-04,2013,6
Viluppuram,12.485439055348948,78.36255300160714,2019-12-08,2019,10
Krishnagiri,8.952412058033609,79.96754407478385,2020-09-23,2020,14
Theni,11.028664171009837,79.84010167865944,2025-10-23,2025,21
Dharmapuri,11.620204042032553,77.98810758995262,2024-09-16,2024,13
Vellore,8.22596513178947,78.98801287255277,2017-01-20,2017,10
Nagapattinam,8.175088461543824,79.18625315713577,2025-12-01,2025,17
Viluppuram,12.485439055348948,78.36255300160714,2016-12-19,2016,11
Karur,10.494940950452266,76.74816994691155,2014-12-03,2014,12
Cuddalore,11.398891248278582,78.96890626302286,2012-03-29,2012,11
Erode,12.22226401305712,80.06453910782892,2022-03-09,2022,15
Kanyakumari,12.058539062877301,78.7208672049697,2021-12-23,2021,18
Chennai,12.978227524916026,79.78258582106868,2021-11-15,2021,10
Tiruppur,11.298769353517763,79.21465589721967,2019-02-10,2019,8
Nagapattinam,8.175088461543824,79.18625315713577,2020-01-31,2020,17
Nilgiris,9.741199889019123,79.47675341562179,2019-07-09,2019,17
Tiruvannamalai,11.975069982513673,80.33873216325708,2014-06-05,2014,10
Nilgiris,9.741199889019123,79.47675341562179,2021-12-30,2021,11
Salem,9.25577671285841,76.59582102659637,2022-06-06,2022,13
Ariyalur,12.305881205692778,76.62231682841326,2025-06-17,2025,21
Karur,10.494940950452266,76.74816994691155,2024-10-03,2024,18
Tenkasi,9.415803319809571,77.79460476523921,2024-07-01,2024,13
Tirunelveli,11.364535836693786,78.9978185573482,2019-11-08,2019,7
Krishnagiri,8.952412058033609,79.96754407478385,2014-12-13,2014,12
Perambalur,11.21215672280004,79.19018115232493,2014-10-03,2014,8
Mayiladuthurai,12.511186625404672,78.71974466077558,2023-06-15,2023,18
Nagapattinam,8.175088461543824,79.18625315713577,2017-02-22,2017,7
Nagapattinam,8.175088461543824,79.18625315713577,2024-04-09,2024,15
Namakkal,11.88168313402467,78.21006029734804,2020-01-23,2020,11
Thanjavur,9.435157103765098,78.98806423544055,2018-10-02,2018,8
Nagapattinam,8.175088461543824,79.18625315713577,2023-03-07,2023,15
Dharmapuri,11.620204042032553,77.98810758995262,2020-09-22,2020,18
Ramanathapuram,10.459286774629927,79.98738840538071,2014-06-20,2014,7
Tiruppur,11.298769353517763,79.21465589721967,2021-02-19,2021,15
Madurai,10.184734806512786,77.18063412427139,2011-07-30,2011,5
Tirupathur,9.264329008844909,79.8427404651618,2020-03-22,2020,16
Salem,9.25577671285841,76.59582102659637,2021-12-29,2021,12
Erode,12.22226401305712,80.06453910782892,2025-12-07,2025,11
Tiruvallur,12.884005519149685,79.1581674412871,2022-12-21,2022,8
Perambalur,11.21215672280004,79.19018115232493,2017-02-19,2017,11
Tiruvannamalai,11.975069982513673,80.33873216325708,2023-03-10,2023,15
Nagapattinam,8.175088461543824,79.18625315713577,2011-08-21,2011,5
Tiruvannamalai,11.975069982513673,80.33873216325708,2014-02-01,2014,10
Thanjavur,9.435157103765098,78.98806423544055,2017-06-26,2017,7
Tiruppur,11.298769353517763,79.21465589721967,2022-07-26,2022,15
Sivaganga,9.82810637090627,77.21275160084942,2023-11-24,2023,13
Dindigul,11.71587791882988,77.4615963417431,2021-11-19,2021,17
Coimbatore,13.19639313368383,78.14988766209166,2020-04-09,2020,10
Pudukkottai,13.448163145399755,79.75913900405705,2024-07-04,2024,11
Tiruvannamalai,11.975069982513673,80.33873216325708,2024-06-25,2024,15
Tenkasi,9.415803319809571,77.79460476523921,2014-09-13,2014,10
Pudukkottai,13.448163145399755,79.75913900405705,2025-10-14,2025,14
Coimbatore,13.19639313368383,78.14988766209166,2025-05-14,2025,17
Tiruvannamalai,11.975069982513673,80.33873216325708,2025-02-24,2025,20
Sivaganga,9.82810637090627,77.21275160084942,2019-12-31,2019,14
Thanjavur,9.435157103765098,78.98806423544055,2023-05-25,2023,13
Tiruvallur,12.884005519149685,79.1581674412871,2012-10-17,2012,7
Theni,11.028664171009837,79.84010167865944,2021-09-14,2021,7
Nagapattinam,8.175088461543824,79.18625315713577,2019-10-28,2019,11
Kallakurichi,10.947006157151062,79.95492868203901,2025-10-26,2025,15
Pudukkottai,13.448163145399755,79.75913900405705,2013-04-01,2013,9
Krishnagiri,8.952412058033609,79.96754407478385,2012-08-14,2012,5
Tiruvallur,12.884005519149685,79.1581674412871,2025-07-10,2025,22
Nagapattinam,8.175088461543824,79.18625315713577,2025-06-15,2025,20
Cuddalore,11.398891248278582,78.96890626302286,2020-06-03,2020,13
Salem,9.25577671285841,76.59582102659637,2019-09-02,2019,9
Erode,12.22226401305712,80.06453910782892,2022-02-17,2022,9
Ranipet,10.74911792754445,77.95757451518396,2025-11-02,2025,19
Erode,12.22226401305712,80.06453910782892,2015-10-09,2015,5
Tirupathur,9.264329008844909,79.8427404651618,2023-04-24,2023,16
Thoothukudi,10.745965039564158,79.87680787016569,2021-11-09,2021,17
Namakkal,11.88168313402467,78.21006029734804,2018-02-15,2018,12
Tirunelveli,11.364535836693786,78.9978185573482,2024-08-09,2024,12
Namakkal,11.88168313402467,78.21006029734804,2018-05-28,2018,17
Erode,12.22226401305712,80.06453910782892,2023-12-28,2023,10
Ariyalur,12.305881205692778,76.62231682841326,2024-02-27,2024,14
Namakkal,11.88168313402467,78.21006029734804,2024-12-15,2024,15
Theni,11.028664171009837,79.84010167865944,2020-06-30,2020,18
Sivaganga,9.82810637090627,77.21275160084942,2023-02-17,2023,18
Chengalpattu,10.971775155436356,80.06195662124445,2018-02-11,2018,7
Virudhunagar,8.479253000752081,80.0074729531343,2013-12-19,2013,13
Salem,9.25577671285841,76.59582102659637,2022-03-15,2022,12
Tirupathur,9.264329008844909,79.8427404651618,2014-03-03,2014,4
Tiruvarur,9.364422817745872,79.0479597862676,2025-02-09,2025,8
Tiruppur,11.298769353517763,79.21465589721967,2024-05-30,2024,18
Viluppuram,12.485439055348948,78.36255300160714,2021-08-19,2021,18
Kanyakumari,12.058539062877301,78.7208672049697,2020-07-06,2020,13
Tiruvallur,12.884005519149685,79.1581674412871,2014-08-04,2014,12
Erode,12.22226401305712,80.06453910782892,2022-06-12,2022,18
Tiruvarur,9.364422817745872,79.0479597862676,2019-02-16,2019,8
Salem,9.25577671285841,76.59582102659637,2011-03-11,2011,8
Namakkal,11.88168313402467,78.21006029734804,2015-11-30,2015,4
Karur,10.494940950452266,76.74816994691155,2020-08-15,2020,11
Nagapattinam,8.175088461543824,79.18625315713577,2021-06-19,2021,10
Tiruppur,11.298769353517763,79.21465589721967,2014-09-15,2014,12
Tiruchirappalli,10.494646628898746,79.3199696545924,2021-02-09,2021,16
Karur,10.494940950452266,76.74816994691155,2016-01-10,2016,5
Sivaganga,9.82810637090627,77.21275160084942,2023-02-05,2023,9
Dindigul,11.71587791882988,77.4615963417431,2013-08-14,2013,15
Ariyalur,12.305881205692778,76.62231682841326,2020-06-05,2020,11
Chennai,12.978227524916026,79.78258582106868,2021-07-09,2021,10
Tiruvarur,9.364422817745872,79.0479597862676,2023-07-22,2023,13
Erode,12.22226401305712,80.06453910782892,2019-10-15,2019,11
Sivaganga,9.82810637090627,77.21275160084942,2021-05-08,2021,11
Kallakurichi,10.947006157151062,79.95492868203901,2022-12-22,2022,16
Tiruchirappalli,10.494646628898746,79.3199696545924,2020-12-11,2020,14
Madurai,10.184734806512786,77.18063412427139,2019-04-18,2019,15
Coimbatore,13.19639313368383,78.14988766209166,2020-12-05,2020,11
Kanyakumari,12.058539062877301,78.7208672049697,2018-11-12,2018,12
Madurai,10.184734806512786,77.18063412427139,2025-01-27,2025,10
Nagapattinam,8.175088461543824,79.18625315713577,2024-10-20,2024,19
Tenkasi,9.415803319809571,77.79460476523921,2018-07-27,2018,15
Sivaganga,9.82810637090627,77.21275160084942,2022-06-13,2022,10
Nilgiris,9.741199889019123,79.47675341562179,2013-09-15,2013,10
Dharmapuri,11.620204042032553,77.98810758995262,2021-08-10,2021,17
Tiruvarur,9.364422817745872,79.0479597862676,2015-09-13,2015,3
Kanchipuram,12.553203369050639,76.91809803087223,2019-05-19,2019,18
Kanyakumari,12.058539062877301,78.7208672049697,2020-01-18,2020,17
Sivaganga,9.82810637090627,77.21275160084942,2015-04-22,2015,6
Namakkal,11.88168313402467,78.21006029734804,2025-04-28,2025,9
Sivaganga,9.82810637090627,77.21275160084942,2015-06-26,2015,6
Viluppuram,12.485439055348948,78.36255300160714,2021-12-12,2021,10
Thanjavur,9.435157103765098,78.98806423544055,2025-05-21,2025,18
Tiruchirappalli,10.494646628898746,79.3199696545924,2024-04-30,2024,10
Kallakurichi,10.947006157151062,79.95492868203901,2021-07-04,2021,19
Pudukkottai,13.448163145399755,79.75913900405705,2020-10-26,2020,9
Theni,11.028664171009837,79.84010167865944,2025-12-18,2025,11
Sivaganga,9.82810637090627,77.21275160084942,2022-02-26,2022,7
Nilgiris,9.741199889019123,79.47675341562179,2017-03-02,2017,10
Tiruchirappalli,10.494646628898746,79.3199696545924,2025-01-14,2025,15
Kanchipuram,12.553203369050639,76.91809803087223,2015-05-29,2015,5
Ramanathapuram,10.459286774629927,79.98738840538071,2010-08-29,2010,5
Tirunelveli,11.364535836693786,78.9978185573482,2010-10-10,2010,2
Mayiladuthurai,12.511186625404672,78.71974466077558,2021-07-10,2021,16
Kanchipuram,12.553203369050639,76.91809803087223,2023-07-18,2023,18
Nilgiris,9.741199889019123,79.47675341562179,2024-08-01,2024,17
Karur,10.494940950452266,76.74816994691155,2022-09-15,2022,17
Karur,10.494940950452266,76.74816994691155,2023-12-17,2023,16
Theni,11.028664171009837,79.84010167865944,2021-06-17,2021,8
Salem,9.25577671285841,76.59582102659637,2025-11-16,2025,13
Sivaganga,9.82810637090627,77.21275160084942,2022-05-24,2022,15
Nilgiris,9.741199889019123,79.47675341562179,2018-09-19,2018,13
Ariyalur,12.305881205692778,76.62231682841326,2018-08-16,2018,12
Ranipet,10.74911792754445,77.95757451518396,2023-09-10,2023,19
Dharmapuri,11.620204042032553,77.98810758995262,2025-11-24,2025,15
Theni,11.028664171009837,79.84010167865944,2023-07-03,2023,12
Salem,9.25577671285841,76.59582102659637,2018-01-11,2018,18
Tenkasi,9.415803319809571,77.79460476523921,2013-12-20,2013,7
Namakkal,11.88168313402467,78.21006029734804,2019-01-03,2019,12
Tirunelveli,11.364535836693786,78.9978185573482,2024-12-27,2024,18
Mayiladuthurai,12.511186625404672,78.71974466077558,2019-08-30,2019,15
Kallakurichi,10.947006157151062,79.95492868203901,2025-07-20,2025,13
Ariyalur,12.305881205692778,76.62231682841326,2017-08-23,2017,15
Coimbatore,13.19639313368383,78.14988766209166,2023-01-16,2023,16
Tirupathur,9.264329008844909,79.8427404651618,2019-07-17,2019,7
Tiruchirappalli,10.494646628898746,79.3199696545924,2021-11-20,2021,10
Dharmapuri,11.620204042032553,77.98810758995262,2018-12-04,2018,9
Nilgiris,9.741199889019123,79.47675341562179,2021-12-09,2021,11
Karur,10.494940950452266,76.74816994691155,2025-08-15,2025,13
Krishnagiri,8.952412058033609,79.96754407478385,2014-09-17,2014,7
Vellore,8.22596513178947,78.98801287255277,2024-05-09,2024,19
Thanjavur,9.435157103765098,78.98806423544055,2024-06-19,2024,21
Perambalur,11.21215672280004,79.19018115232493,2016-08-21,2016,8
Tirupathur,9.264329008844909,79.8427404651618,2020-06-22,2020,13
Tirunelveli,11.364535836693786,78.9978185573482,2017-04-13,2017,13
Salem,9.25577671285841,76.59582102659637,2016-11-11,2016,5
Madurai,10.184734806512786,77.18063412427139,2016-06-01,2016,7
Namakkal,11.88168313402467,78.21006029734804,2024-03-17,2024,9
Kallakurichi,10.947006157151062,79.95492868203901,2019-02-12,2019,7
Nagapattinam,8.175088461543824,79.18625315713577,2016-07-26,2016,4
Chennai,12.978227524916026,79.78258582106868,2018-12-27,2018,14
Chengalpattu,10.971775155436356,80.06195662124445,2021-04-29,2021,12
Vellore,8.22596513178947,78.98801287255277,2022-12-18,2022,10
Chengalpattu,10.971775155436356,80.06195662124445,2013-07-20,2013,6
Tirupathur,9.264329008844909,79.8427404651618,2014-03-28,2014,7
Namakkal,11.88168313402467,78.21006029734804,2019-02-06,2019,17
Tenkasi,9.415803319809571,77.79460476523921,2017-12-02,2017,9
Tirupathur,9.264329008844909,79.8427404651618,2018-11-20,2018,11
Thanjavur,9.435157103765098,78.98806423544055,2016-07-08,2016,9
Ramanathapuram,10.459286774629927,79.98738840538071,2025-09-07,2025,14
Dindigul,11.71587791882988,77.4615963417431,2019-02-07,2019,6
Pudukkottai,13.448163145399755,79.75913900405705,2020-06-28,2020,19
Nilgiris,9.741199889019123,79.47675341562179,2021-01-29,2021,11
Thoothukudi,10.745965039564158,79.87680787016569,2022-05-25,2022,16
Tirupathur,9.264329008844909,79.8427404651618,2018-03-13,2018,10
Kanyakumari,12.058539062877301,78.7208672049697,2017-11-16,2017,15
Ramanathapuram,10.459286774629927,79.98738840538071,2016-07-24,2016,18
Tenkasi,9.415803319809571,77.79460476523921,2024-06-22,2024,11
Kallakurichi,10.947006157151062,79.95492868203901,2018-05-31,2018,14
Tirunelveli,11.364535836693786,78.9978185573482,2023-02-15,2023,15
Theni,11.028664171009837,79.84010167865944,2015-10-07,2015,16
Perambalur,11.21215672280004,79.19018115232493,2019-04-08,2019,7
Kallakurichi,10.947006157151062,79.95492868203901,2023-01-20,2023,11
Nagapattinam,8.175088461543824,79.18625315713577,2023-02-04,2023,13
Sivaganga,9.82810637090627,77.21275160084942,2014-11-10,2014,11
Ariyalur,12.305881205692778,76.62231682841326,2023-07-09,2023,19
Viluppuram,12.485439055348948,78.36255300160714,2020-04-16,2020,14
Thoothukudi,10.745965039564158,79.87680787016569,2022-02-12,2022,13
Krishnagiri,8.952412058033609,79.96754407478385,2021-02-06,2021,18
Karur,10.494940950452266,76.74816994691155,2024-03-31,2024,17
Krishnagiri,8.952412058033609,79.96754407478385,2021-01-10,2021,10
Sivaganga,9.82810637090627,77.21275160084942,2019-07-01,2019,11
Pudukkottai,13.448163145399755,79.75913900405705,2015-02-23,2015,5
Erode,12.22226401305712,80.06453910782892,2019-05-31,2019,11
Krishnagiri,8.952412058033609,79.96754407478385,2024-04-02,2024,15
Ranipet,10.74911792754445,77.95757451518396,2016-03-19,2016,7
Kanchipuram,12.553203369050639,76.91809803087223,2021-08-31,2021,13
Coimbatore,13.19639313368383,78.14988766209166,2019-08-21,2019,11
Kanchipuram,12.553203369050639,76.91809803087223,2017-02-01,2017,13
Ramanathapuram,10.459286774629927,79.98738840538071,2022-03-19,2022,11
Thanjavur,9.435157103765098,78.98806423544055,2021-03-27,2021,10
